API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Aug 23 14:44:05 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: International Space Station (spacecraft) (-125544) {source: iss}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Aug-24 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Aug-27 00:00:00.0000 TDB
Step-size       : 2 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260821.p261117
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-21. PREDICTS-> 2026-NOV-16
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461276.533333333, A.D. 2026-Aug-24 00:48:00.0000, -2.300227079344540E+03, -3.559672713797702E+03, -5.324983857466274E+03,  6.278632524493382E+00, -4.356166662837556E+00,  2.017670572987483E-01,
2461276.534722222, A.D. 2026-Aug-24 00:50:00.0000, -1.528220779214524E+03, -4.048565561972536E+03, -5.252439993405794E+03,  6.568706635609709E+00, -3.779711464503634E+00,  1.005490758839711E+00,
2461276.536111111, A.D. 2026-Aug-24 00:52:00.0000, -7.285052818858089E+02, -4.464050299501775E+03, -5.084387002135196E+03,  6.739750845754103E+00, -3.134518571384923E+00,  1.791192739115936E+00,
2461276.537500000, A.D. 2026-Aug-24 00:54:00.0000,  8.442431720195640E+01, -4.798558344716893E+03, -4.823841195273437E+03,  6.788592685219731E+00, -2.432109596018995E+00,  2.544713813048012E+00,
2461276.538888889, A.D. 2026-Aug-24 00:56:00.0000,  8.958203776750761E+02, -5.045968148382847E+03, -4.475488713829485E+03,  6.714203671743658E+00, -1.685048033080548E+00,  3.252422208943186E+00,
2461276.540277778, A.D. 2026-Aug-24 00:58:00.0000,  1.690942488829457E+03, -5.201718308271236E+03, -4.045608141839970E+03,  6.517735777149919E+00, -9.067377510955468E-01,  3.901447799594976E+00,
2461276.541666667, A.D. 2026-Aug-24 01:00:00.0000,  2.455319732868435E+03, -5.262895370263291E+03, -3.541965252581517E+03,  6.202526008661468E+00, -1.112027046620142E-01,  4.479911791492986E+00,
2461276.543055556, A.D. 2026-Aug-24 01:02:00.0000,  3.175011398592482E+03, -5.228294114444131E+03, -2.973680642856718E+03,  5.774065559462244E+00,  6.871511472731378E-01,  4.977148195876344E+00,
2461276.544444445, A.D. 2026-Aug-24 01:04:00.0000,  3.836861684886736E+03, -5.098448314087245E+03, -2.351071526356385E+03,  5.239930088842353E+00,  1.473789477418167E+00,  5.383912201765997E+00,
2461276.545833333, A.D. 2026-Aug-24 01:06:00.0000,  4.428743561706254E+03, -4.875630311436414E+03, -1.685469604607644E+03,  4.609668435986372E+00,  2.234315040199031E+00,  5.692569593623761E+00,
2461276.547222222, A.D. 2026-Aug-24 01:08:00.0000,  4.939786710594791E+03, -4.563818294465669E+03, -9.890176737621838E+02,  3.894648430882648E+00,  2.954739656601854E+00,  5.897260800331481E+00,
2461276.548611111, A.D. 2026-Aug-24 01:10:00.0000,  5.360584413833920E+03, -4.168630874704097E+03, -2.744483979494505E+02,  3.107860322561712E+00,  3.621756102236696E+00,  5.994033168222038E+00,
2461276.550000000, A.D. 2026-Aug-24 01:12:00.0000,  5.683374449096159E+03, -3.697229422758191E+03,  4.451505860326420E+02,  2.263680499746773E+00,  4.223002309958721E+00,  5.980935681679589E+00,
2461276.551388889, A.D. 2026-Aug-24 01:14:00.0000,  5.902189496337469E+03, -3.158189558063232E+03,  1.156580445198971E+03,  1.377600380221865E+00,  4.747309895401953E+00,  5.858071584036493E+00,
2461276.552777778, A.D. 2026-Aug-24 01:16:00.0000,  6.012973266256293E+03, -2.561344140591987E+03,  1.846778573760648E+03,  4.659273253819671E-01,  5.184929248856408E+00,  5.627606065831489E+00,
2461276.554166667, A.D. 2026-Aug-24 01:18:00.0000,  6.013659475073454E+03, -1.917600997879432E+03,  2.503064205494258E+03, -4.545340468011128E-01,  5.527724304489587E+00,  5.293728202257294E+00,
2461276.555555556, A.D. 2026-Aug-24 01:20:00.0000,  5.904211853048700E+03, -1.238739369788335E+03,  3.113376779905318E+03, -1.366810903396532E+00,  5.769331502633165E+00,  4.862568407834685E+00,
2461276.556944444, A.D. 2026-Aug-24 01:22:00.0000,  5.686624501429807E+03, -5.371896108502989E+02,  3.666501891838999E+03, -2.254092202996825E+00,  5.905279231539092E+00,  4.342074595474922E+00,
