API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Tue Sep  1 12:09:03 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2036-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2041-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260831.p261127
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-31. PREDICTS-> 2026-NOV-26
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2464693.500000000, A.D. 2036-Jan-01 00:00:00.0000,  2.354887493652997E+05, -3.083496572367189E+05, -1.194105606523343E+05,  7.830788092627041E-01,  5.540056672879968E-01,  1.511679076368549E-01,
2464694.500000000, A.D. 2036-Jan-02 00:00:00.0000,  2.973297239460436E+05, -2.540115616784783E+05, -1.038087361413995E+05,  6.427533461052035E-01,  6.993556332855870E-01,  2.087403315795191E-01,
2464695.500000000, A.D. 2036-Jan-03 00:00:00.0000,  3.456508775681849E+05, -1.883587687256713E+05, -8.358894258048627E+04,  4.710155317670182E-01,  8.149427226301980E-01,  2.576822187670867E-01,
2464696.500000000, A.D. 2036-Jan-04 00:00:00.0000,  3.779850104975155E+05, -1.142071561740364E+05, -5.959388661329018E+04,  2.737506524588141E-01,  8.952141144192068E-01,  2.957739193057151E-01,
2464697.500000000, A.D. 2036-Jan-05 00:00:00.0000,  3.924190831214979E+05, -3.482508257896428E+04, -3.285115573590816E+04,  5.791874111754087E-02,  9.352553028282597E-01,  3.209567352091218E-01,
2464698.500000000, A.D. 2036-Jan-06 00:00:00.0000,  3.876932967780903E+05,  4.612493838983991E+04, -4.558569773600544E+03, -1.682827817881045E-01,  9.308833772478223E-01,  3.313559823732800E-01,
2464699.500000000, A.D. 2036-Jan-07 00:00:00.0000,  3.633184112977682E+05,  1.246592457238993E+05,  2.393453541230680E+04, -3.951693886491841E-01,  8.789111921982126E-01,  3.253586936364439E-01,
2464700.500000000, A.D. 2036-Jan-08 00:00:00.0000,  3.197151011932949E+05,  1.965800104931314E+05,  5.115657628613902E+04, -6.113335351089835E-01,  7.776853559292436E-01,  3.017869422626968E-01,
2464701.500000000, A.D. 2036-Jan-09 00:00:00.0000,  2.583662333790414E+05,  2.576431144429658E+05,  7.556335760773264E+04, -8.036243847069134E-01,  6.279613753754399E-01,  2.601994712366520E-01,
