API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Tue Sep  1 12:09:11 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2041-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2045-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260831.p261127
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-31. PREDICTS-> 2026-NOV-26
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2466544.500000000, A.D. 2041-Jan-25 00:00:00.0000, -3.393573723439812E+05, -1.822071677150236E+05, -6.542692171298328E+04,  5.444672706193155E-01, -7.340372579997284E-01, -4.097312951178821E-01,
2466545.500000000, A.D. 2041-Jan-26 00:00:00.0000, -2.840156865676874E+05, -2.404019668276812E+05, -9.884193105356814E+04,  7.324965449624222E-01, -6.064058032821090E-01, -3.600984204140903E-01,
2466546.500000000, A.D. 2041-Jan-27 00:00:00.0000, -2.136554270927421E+05, -2.858916964694439E+05, -1.270299864781469E+05,  8.901727146465865E-01, -4.405872243455843E-01, -2.889140778434352E-01,
2466547.500000000, A.D. 2041-Jan-28 00:00:00.0000, -1.314109896685445E+05, -3.155881056478370E+05, -1.481960480145255E+05,  1.005593610824877E+00, -2.419948691426841E-01, -1.979907682403725E-01,
2466548.500000000, A.D. 2041-Jan-29 00:00:00.0000, -4.144171882079221E+04, -3.270188178451288E+05, -1.607766294751563E+05,  1.067161418020935E+00, -1.959646563137218E-02, -9.095589490133901E-02,
2466549.500000000, A.D. 2041-Jan-30 00:00:00.0000,  5.116465106239291E+04, -3.186595853427584E+05, -1.636145913466897E+05,  1.065340672297302E+00,  2.136062625227346E-01,  2.637358646116575E-02,
2466550.500000000, A.D. 2041-Jan-31 00:00:00.0000,  1.406701487545268E+05, -2.902728428157723E+05, -1.561508821063890E+05,  9.950334523417675E-01,  4.410070081379315E-01,  1.460269239792139E-01,
2466551.500000000, A.D. 2041-Feb-01 00:00:00.0000,  2.211728974909791E+05, -2.431526685867095E+05, -1.385849987188817E+05,  8.578578885925831E-01,  6.441707490956727E-01,  2.585999780672023E-01,
2466552.500000000, A.D. 2041-Feb-02 00:00:00.0000,  2.872460886185708E+05, -1.801602630760343E+05, -1.119416473135796E+05,  6.632112360240038E-01,  8.058141950934006E-01,  3.546740154865150E-01,
2466553.500000000, A.D. 2041-Feb-03 00:00:00.0000,  3.345823326167617E+05, -1.054818142044822E+05, -7.799812542326350E+04,  4.272552479843830E-01,  9.130364686800965E-01,  4.265185709382238E-01,
2466554.500000000, A.D. 2041-Feb-04 00:00:00.0000,  3.604616424576630E+05, -2.414501585056673E+04, -3.907682177233354E+04,  1.699769210277880E-01,  9.594696022891676E-01,  4.693977010360830E-01,
2466555.500000000, A.D. 2041-Feb-05 00:00:00.0000,  3.639237208575127E+05,  5.857087220337072E+04,  2.238425209301422E+03, -8.846311271558766E-02,  9.455418506238809E-01,  4.819815215836434E-01,
2466556.500000000, A.D. 2041-Feb-06 00:00:00.0000,  3.456471612964641E+05,  1.376710099795598E+05,  4.338124701426487E+04, -3.306624271408867E-01,  8.770832235034456E-01,  4.658692807278159E-01,
2466557.500000000, A.D. 2041-Feb-07 00:00:00.0000,  3.076369374475696E+05,  2.088214600534262E+05,  8.201614006197185E+04, -5.434365240337489E-01,  7.632010303600082E-01,  4.246331040797900E-01,
2466558.500000000, A.D. 2041-Feb-08 00:00:00.0000,  2.528475274920380E+05,  2.685445454958560E+05,  1.161657478804988E+05, -7.179231337131314E-01,  6.143301648092826E-01,  3.628461283254143E-01,
2466559.500000000, A.D. 2041-Feb-09 00:00:00.0000,  1.848354322951461E+05,  3.142714604789370E+05,  1.442641630667006E+05, -8.489028868851455E-01,  4.409128416144392E-01,  2.853671607172629E-01,
