API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Tue Sep  1 12:08:56 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2031-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2036-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260831.p261127
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-31. PREDICTS-> 2026-NOV-26
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2462867.500000000, A.D. 2031-Jan-01 00:00:00.0000,  3.782123650831482E+05,  8.146549668290779E+04,  6.584867168290800E+04, -1.946806459081565E-01,  9.164557556312288E-01,  3.405113939654998E-01,
2462868.500000000, A.D. 2031-Jan-02 00:00:00.0000,  3.521975978163215E+05,  1.580158323388047E+05,  9.341529628975260E+04, -4.038279468449860E-01,  8.487969266779188E-01,  2.953088069920839E-01,
2462869.500000000, A.D. 2031-Jan-03 00:00:00.0000,  3.091671178895491E+05,  2.270573504080228E+05,  1.165235416727019E+05, -5.874644059500864E-01,  7.436406805003998E-01,  2.377971002502863E-01,
2462870.500000000, A.D. 2031-Jan-04 00:00:00.0000,  2.515887986732383E+05,  2.856138753766770E+05,  1.342363923159060E+05, -7.397162719595943E-01,  6.071362969496004E-01,  1.709014334016436E-01,
2462871.500000000, A.D. 2031-Jan-05 00:00:00.0000,  1.823823824523659E+05,  3.312521520475282E+05,  1.458689483581829E+05, -8.559530019813925E-01,  4.456988128021395E-01,  9.753542910779557E-02,
2462872.500000000, A.D. 2031-Jan-06 00:00:00.0000,  1.048211308817812E+05,  3.621053784813106E+05,  1.509884846989332E+05, -9.326053389942365E-01,  2.660352897161651E-01,  2.062821146108684E-02,
2462873.500000000, A.D. 2031-Jan-07 00:00:00.0000,  2.244225932139279E+04,  3.769010441598361E+05,  1.494170213370249E+05, -9.671394219648070E-01,  7.520371470173136E-02, -5.684975114800743E-02,
2462874.500000000, A.D. 2031-Jan-08 00:00:00.0000, -6.104577565553569E+04,  3.749925983258646E+05,  1.412351560998207E+05, -9.581471129097693E-01, -1.193663842568915E-01, -1.318860773739912E-01,
2462875.500000000, A.D. 2031-Jan-09 00:00:00.0000, -1.418668402032292E+05,  3.563897296131169E+05,  1.267844408889712E+05, -9.054971104148060E-01, -3.099305603234518E-01, -2.014613858867658E-01,
