API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Tue Sep  1 12:01:06 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2031-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2036-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260831.p261127
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-AUG-31. PREDICTS-> 2026-NOV-26
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2462867.500000000, A.D. 2031-Jan-01 00:00:00.0000,  2.534790938888327E+07, -1.329478874809088E+08, -5.762868458789130E+07,  2.982609042731347E+01,  4.822900131669706E+00,  2.089709687351482E+00,
2462868.500000000, A.D. 2031-Jan-02 00:00:00.0000,  2.792069430140414E+07, -1.325105536731422E+08, -5.743919755414252E+07,  2.972761515186733E+01,  5.300226825136290E+00,  2.296424147345351E+00,
2462869.500000000, A.D. 2031-Jan-03 00:00:00.0000,  3.048458362467761E+07, -1.320320683900555E+08, -5.723188716501215E+07,  2.962019273738035E+01,  5.775466713532519E+00,  2.502282021258276E+00,
2462870.500000000, A.D. 2031-Jan-04 00:00:00.0000,  3.303880897288891E+07, -1.315126154641221E+08, -5.700682881213971E+07,  2.950392849568963E+01,  6.248538700581031E+00,  2.707251312038109E+00,
2462871.500000000, A.D. 2031-Jan-05 00:00:00.0000,  3.558261052628426E+07, -1.309523855667280E+08, -5.676410064769509E+07,  2.937891593993236E+01,  6.719365545188536E+00,  2.911300153849883E+00,
2462872.500000000, A.D. 2031-Jan-06 00:00:00.0000,  3.811523612120389E+07, -1.303515758653650E+08, -5.650378355901725E+07,  2.924523897874802E+01,  7.187874244883929E+00,  3.114397168277067E+00,
2462873.500000000, A.D. 2031-Jan-07 00:00:00.0000,  4.063594044535441E+07, -1.297103896229491E+08, -5.622596111034312E+07,  2.910297221265531E+01,  7.653996816019445E+00,  3.316511806145378E+00,
2462874.500000000, A.D. 2031-Jan-08 00:00:00.0000,  4.314398419319362E+07, -1.290290357450153E+08, -5.593071946678814E+07,  2.895217981650152E+01,  8.117670608977328E+00,  3.517614382385958E+00,
2462875.500000000, A.D. 2031-Jan-09 00:00:00.0000,  4.563863308765911E+07, -1.283077283381909E+08, -5.561814733360396E+07,  2.879291368161899E+01,  8.578837684971562E+00,  3.717675679875246E+00,
